Nome do Repositorio;Data de Criacao;Data de Atualizacao;Linguagem Primaria;Total de Releases;Pull Requests Aceitos;Total de Issues;Issues Fechadas
dair-ai/Prompt-Engineering-Guide;2022-12-16T16:04:50Z;2026-03-05T22:26:18Z;MDX;0;342;241;74
apache/superset;2015-07-21T18:55:34Z;2026-03-05T22:22:18Z;TypeScript;243;16446;12195;11542
protocolbuffers/protobuf;2014-08-26T15:52:15Z;2026-03-05T21:35:09Z;C++;208;8734;6801;6676
obsproject/obs-studio;2013-10-01T02:40:31Z;2026-03-05T22:06:41Z;C;236;5422;4920;4162
hakimel/reveal.js;2011-06-07T18:54:22Z;2026-03-05T22:04:50Z;JavaScript;49;413;2490;1696
caddyserver/caddy;2015-01-13T19:45:03Z;2026-03-05T20:23:35Z;Go;133;2266;4489;4293
binary-husky/gpt_academic;2023-03-20T09:05:13Z;2026-03-05T16:04:06Z;Python;32;228;1756;1480
fffaraz/awesome-cpp;2014-07-17T08:51:11Z;2026-03-05T22:26:08Z;N/A;0;837;591;355
swiftlang/swift;2015-10-23T21:15:07Z;2026-03-05T22:12:03Z;C++;66;58082;17479;10067
Eugeny/tabby;2016-12-23T09:06:10Z;2026-03-05T22:18:16Z;TypeScript;204;1512;6029;3509
danielmiessler/SecLists;2012-02-19T01:30:18Z;2026-03-05T21:52:57Z;PHP;29;696;317;308
nektos/act;2019-01-02T19:53:43Z;2026-03-05T21:04:53Z;Go;92;1057;1317;1076
binhnguyennus/awesome-scalability;2017-12-27T03:46:40Z;2026-03-05T22:13:55Z;N/A;0;37;0;0
expressjs/express;2009-06-26T18:56:01Z;2026-03-05T21:20:07Z;JavaScript;164;522;4030;3930
base/node;2023-02-01T13:55:02Z;2026-03-05T21:48:53Z;Go;72;249;330;323
OpenHands/OpenHands;2024-03-13T03:33:31Z;2026-03-05T22:12:32Z;Python;99;6437;3845;3676
AppFlowy-IO/AppFlowy;2021-06-16T12:56:48Z;2026-03-05T21:50:28Z;Dart;127;3894;3899;2996
ansible/ansible;2012-03-06T14:58:02Z;2026-03-05T22:11:16Z;Python;207;39671;33292;32755
hiyouga/LlamaFactory;2023-05-28T10:09:12Z;2026-03-05T22:10:27Z;Python;35;900;7870;6967
chartjs/Chart.js;2013-03-17T23:56:36Z;2026-03-05T20:29:13Z;JavaScript;117;3016;7301;6817
prakhar1989/awesome-courses;2014-11-15T18:36:49Z;2026-03-05T22:26:20Z;N/A;0;194;83;39
juliangarnier/anime;2016-03-13T21:37:45Z;2026-03-05T19:04:53Z;JavaScript;34;87;835;750
leonardomso/33-js-concepts;2018-09-04T13:27:04Z;2026-03-05T20:08:12Z;JavaScript;0;262;119;119
webpack/webpack;2012-03-10T10:08:14Z;2026-03-05T17:02:43Z;JavaScript;448;5562;10150;10038
labmlai/annotated_deep_learning_paper_implementations;2020-08-25T02:29:34Z;2026-03-05T21:17:35Z;Python;0;104;142;114
apache/echarts;2013-04-03T03:18:59Z;2026-03-05T22:05:21Z;TypeScript;122;1493;19305;17662
xtekky/gpt4free;2023-03-29T17:00:43Z;2026-03-05T19:28:49Z;Python;429;871;1990;1980
TapXWorld/ChinaTextbook;2020-01-05T04:11:06Z;2026-03-05T18:55:56Z;Roff;0;1;161;76
NationalSecurityAgency/ghidra;2019-03-01T03:27:48Z;2026-03-05T22:16:48Z;Java;52;553;5864;4325
lydiahallie/javascript-questions;2019-06-12T08:26:27Z;2026-03-05T22:22:30Z;N/A;0;328;252;233
scikit-learn/scikit-learn;2010-08-17T09:43:38Z;2026-03-05T21:44:37Z;Python;49;14163;11980;10392
sindresorhus/awesome-nodejs;2014-07-11T13:35:34Z;2026-03-05T21:11:54Z;N/A;0;421;105;102
TheAlgorithms/Java;2016-07-16T10:21:02Z;2026-03-05T22:30:33Z;Java;0;2267;1203;1178
kdn251/interviews;2017-02-14T18:19:25Z;2026-03-05T20:45:16Z;Java;0;42;58;24
bradtraversy/design-resources-for-developers;2020-05-06T14:40:35Z;2026-03-05T22:22:25Z;N/A;0;967;111;109
kelseyhightower/nocode;2018-02-06T23:54:00Z;2026-03-05T21:16:22Z;Dockerfile;1;1;4920;728
FoundationAgents/MetaGPT;2023-06-30T09:04:55Z;2026-03-05T21:17:51Z;Python;22;673;905;889
chrislgarry/Apollo-11;2014-04-03T15:45:02Z;2026-03-05T18:25:07Z;Assembly;0;355;387;330
localstack/localstack;2016-10-25T23:48:03Z;2026-03-05T22:02:41Z;Python;106;6811;6175;5867
facebook/docusaurus;2017-06-20T16:13:53Z;2026-03-05T21:12:20Z;TypeScript;154;5624;3400;3111
keras-team/keras;2015-03-28T00:35:42Z;2026-03-05T17:52:10Z;Python;86;4659;12653;12464
toeverything/AFFiNE;2022-07-31T18:45:21Z;2026-03-05T22:31:17Z;TypeScript;540;9028;3607;3107
